SAMPLE_ID,Rb,Sr,La,Ce,Sm,Nd,Lu,Hf,U,Th,Pb
ODP0304-1309D-227R-002/026-030,42.31,1331.52,99.08,157.68,12.58,69.7,0.268,5.67,2.54,10.93,7.55
ODP0304-1309D-228R-001/095-098,41.82,1321.55,93.14,145.81,11.39,63.16,0.244,5.56,2.52,10.6,7.75
ODP0304-1309D-228R-004/039-043,42.97,1290.06,91.73,143.86,11.35,64.49,0.249,5.63,2.47,10.84,7.1
ODP0304-1309D-231R-003/050-054,42.32,1298.76,92.18,150.51,11.63,64.3,0.268,5.74,2.72,10.91,8.74
ODP0305-1309D-080R-002/019-028,0.652,58.003,0.221,0.717,0.323,0.816,0.068,0.193,0.006,0.019,0.086
ODP0305-1309D-102R-001/099-109,0.203,82.302,0.352,1.192,0.633,1.555,0.127,0.31,0.003,0.011,0.101
ODP0305-1309D-103R-001/018-023,0.054,90.29,0.176,0.699,0.553,1.094,0.139,0.237,0.001,0.074,0.048
ODP0305-1309D-109R-002/077-095,0.102,70.971,0.248,0.888,0.686,1.4,0.155,0.283,0.003,0.008,0.083
ODP0305-1309D-116R-003/067-077,0.143,184.277,16.905,67.713,28.986,79.671,2.862,21.833,0.119,0.167,0.185
ODP0305-1309D-117R-004/023-027,0.055,83.787,0.156,0.588,0.445,0.872,0.096,0.177,0.001,0.004,0.034
ODP0305-1309D-132R-001/036-045,0.161,97.822,0.762,2.668,1.395,3.321,0.282,0.632,0.01,0.028,0.169
ODP0305-1309D-135R-002/055-065,0.226,72.565,0.447,1.564,0.925,2.135,0.188,0.446,0.004,0.015,0.23
ODP0305-1309D-145R-003/029-035,0.225,84.567,0.482,1.58,0.576,1.578,0.095,0.226,0.002,0.009,0.045
ODP0305-1309D-158R-001/011-018,0.701,241.611,18.999,65.503,23.972,69.128,3.995,25.51,0.3,0.49,0.15
ODP0305-1309D-158R-003/043-057,0.076,96.234,0.28,1.054,0.692,1.435,0.139,0.297,0.002,0.004,0.051
ODP0305-1309D-159R-001/109-117,0.131,77.698,0.327,1.216,0.886,1.85,0.175,0.422,0.064,0.137,0.137
ODP0305-1309D-167R-002/097-110,0.278,90.702,0.297,0.982,0.637,1.345,0.15,0.25,0.004,0.011,0.137
ODP0305-1309D-174R-004/042-051,0.159,106.277,0.217,0.582,0.147,0.512,0.02,0.052,0.003,0.006,0.09
ODP0305-1309D-187R-001/084-094,0.121,88.903,0.532,1.987,1.194,2.718,0.242,0.595,0.005,0.014,0.141
ODP0305-1309D-199R-003/055-068,0.138,83.821,0.36,1.279,0.859,1.86,0.195,0.397,0.006,0.014,0.138
ODP0305-1309D-220R-001/070-080,0.075,85.986,0.318,1.097,0.698,1.52,0.151,0.3,0.003,0.006,0.145
ODP0305-1309D-225R-001/076-085,0.091,89.363,0.264,0.926,0.524,1.158,0.098,0.215,0.002,0.004,0.084
ODP0305-1309D-236R-002/137-146,0.072,87.353,0.166,0.522,0.37,0.762,0.082,0.147,0.001,0.003,0.06
ODP0305-1309D-258R-001/034-039,0.072,104.203,0.388,1.443,0.915,1.926,0.192,0.421,0.004,0.011,0.095
ODP0304-1309D-005R-003/114-118,0.141,113.26,1.249,4.562,1.938,5.109,0.359,0.253,0.009,0.085,0.069
ODP0304-1309D-009R-001/073-077,0.13,113.446,0.31,1.132,0.574,1.363,0.096,0.162,0.008,0.007,0.085
ODP0304-1309D-011R-002/038-043,0.097,69.871,0.186,0.598,0.256,0.676,0.045,0.11,0.008,0.006,0.051
ODP0304-1309D-016R-005/018-026,0.174,78.227,0.238,0.68,0.408,0.877,0.09,0.163,0.026,0.003,0.04
ODP0304-1309D-025R-003/024-031,0.174,90.442,0.232,0.773,0.462,1.005,0.109,0.187,0.006,0.022,0.095
ODP0304-1309D-026R-001/015-026,0.072,83.544,0.218,0.695,0.502,0.999,0.102,0.185,0.005,0.009,0.079
ODP0304-1309D-068R-003/047-060,0.129,99.78,0.256,0.813,0.52,1.092,0.108,0.204,0.004,0.007,0.061
ODP0304-1309D-069R-001/066-072,0.369,65.387,1.024,3.93,2.515,5.464,0.533,2.022,0.016,0.051,0.213
